popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,category,time_signature,duration_ms
26,0.699,0.475,0,-8.806,1,0.186,0.946,0.000762,0.281,0.74,116.471,blues,4,183520
26,0.329,0.893,9,-6.486,1,0.0772,0.00182,0.000652,0.75,0.556,133.074,blues,4,269440
40,0.621,0.79,4,-4.464,1,0.0884,0.115,1.32e-05,0.321,0.947,172.102,blues,4,138312
30,0.21,0.86,4,-2.187,1,0.0738,0.0121,7.65e-05,0.142,0.402,164.762,blues,3,167507
26,0.513,0.26,9,-13.115,1,0.0607,0.935,0.00843,0.154,0.74,80.537,blues,4,164146
39,0.656,0.773,1,-9.156,0,0.0363,0.335,0.00142,0.155,0.867,114.979,blues,4,220240
47,0.465,0.751,2,-5.801,1,0.126,0.279,0.00764,0.208,0.618,149.501,blues,4,203100
41,0.404,0.398,7,-9.907,1,0.0289,0.205,0.0125,0.0917,0.251,75.867,blues,4,287484
27,0.676,0.604,4,-11.483,1,0.186,0.299,0.587,0.13,0.813,151.174,blues,4,221973
54,0.809,0.701,0,-12.484,1,0.0574,0.176,0.0,0.184,0.563,105.696,blues,4,149013
39,0.765,0.636,4,-8.158,0,0.0479,0.0563,0.000337,0.118,0.518,83.524,blues,4,240726
52,0.639,0.496,1,-6.844,0,0.0375,0.713,0.254,0.0545,0.467,140.394,blues,3,445533
2,0.723,0.738,5,-8.571,1,0.0442,0.81,0.011,0.0829,0.809,120.121,blues,4,135547
18,0.568,0.574,2,-6.05,1,0.0252,0.858,0.168,0.11,0.388,93.031,blues,4,288320
24,0.412,0.379,9,-12.424,0,0.0603,0.327,0.000336,0.692,0.248,102.96,blues,4,212815
53,0.58,0.573,9,-8.137,1,0.061,0.00305,0.0015,0.182,0.477,121.225,blues,4,177093
17,0.489,0.586,2,-13.885,1,0.0596,0.0352,0.0635,0.059,0.882,167.722,blues,4,332560
64,0.632,0.933,0,-7.874,1,0.0326,0.236,0.00151,0.604,0.968,131.487,blues,4,215333
41,0.636,0.495,0,-9.428,1,0.0395,0.0456,0.0823,0.106,0.536,108.23,blues,3,333989
39,0.559,0.644,9,-9.925,1,0.0391,0.191,0.0082,0.124,0.572,87.075,blues,4,231880
45,0.374,0.542,0,-8.136,0,0.0552,0.699,8.79e-05,0.102,0.419,183.745,blues,3,223577
37,0.701,0.137,0,-16.397,1,0.0417,0.991,0.912,0.155,0.68,92.341,blues,4,311813
42,0.674,0.318,0,-6.825,1,0.0281,0.98,0.00144,0.11,0.189,91.257,blues,4,267790
33,0.448,0.605,7,-9.105,1,0.054,0.084,0.00656,0.1,0.52,129.345,blues,4,295213
22,0.395,0.421,0,-12.227,1,0.0301,0.115,0.527,0.102,0.135,131.79,blues,3,246053
20,0.723,0.354,5,-15.958,1,0.0382,0.55,0.339,0.115,0.842,81.47,blues,4,356773
65,0.548,0.64,10,-6.285,0,0.0306,0.21,0.000328,0.08,0.392,108.326,blues,4,197520
34,0.769,0.25,0,-11.141,1,0.0556,0.711,0.0823,0.0855,0.615,127.147,blues,4,164573
53,0.294,0.611,2,-6.268,1,0.0348,0.0226,0.435,0.114,0.567,178.191,blues,3,166400
35,0.492,0.736,9,-5.134,0,0.0318,0.00376,0.000386,0.128,0.555,122.442,blues,4,179387
35,0.645,0.455,1,-8.484,0,0.0322,0.49,7.54e-06,0.165,0.339,149.971,blues,5,271733
35,0.561,0.195,0,-17.093,1,0.195,0.962,0.000126,0.337,0.516,80.771,blues,4,183432
65,0.56,0.705,2,-6.761,1,0.0498,0.772,0.00259,0.264,0.501,122.456,blues,4,243547
36,0.72,0.142,4,-18.26,0,0.05,0.941,0.0969,0.09,0.64,107.134,blues,4,276107
38,0.413,0.298,9,-12.671,1,0.0356,0.928,0.0203,0.109,0.441,78.229,blues,4,251960
18,0.545,0.448,10,-8.746,1,0.0343,0.518,2.88e-06,0.132,0.357,79.001,blues,4,228253
0,0.533,0.417,5,-14.248,1,0.0402,0.607,0.0,0.252,0.739,143.935,blues,4,148082
11,0.807,0.585,7,-6.702,0,0.0375,0.56,0.00349,0.0894,0.749,97.03,blues,4,295627
29,0.499,0.395,10,-5.839,1,0.0293,0.521,4.23e-05,0.147,0.547,81.685,blues,4,195467
46,0.481,0.894,9,-7.213,1,0.0415,0.00602,0.0149,0.191,0.562,140.9,blues,4,218269
46,0.727,0.296,8,-7.851,1,0.0381,0.642,0.00195,0.0815,0.592,101.006,blues,4,173733
37,0.475,0.723,10,-2.738,0,0.0521,0.0917,0.000678,0.0634,0.745,176.996,blues,3,179311
32,0.516,0.842,6,-8.062,1,0.0366,0.0304,0.0,0.0722,0.718,138.245,blues,4,204093
48,0.554,0.49,9,-8.725,1,0.0267,0.736,0.00728,0.327,0.578,67.591,blues,4,232453
71,0.629,0.58,7,-6.208,0,0.0278,0.357,0.000353,0.436,0.655,110.264,blues,4,210300
32,0.395,0.458,0,-12.527,1,0.0462,0.419,0.000132,0.594,0.474,168.933,blues,3,378493
40,0.401,0.567,2,-9.327,1,0.0397,0.346,0.125,0.162,0.622,182.966,blues,4,297881
16,0.529,0.216,11,-17.819,0,0.118,0.979,0.2,0.112,0.561,202.703,blues,3,245203
24,0.4,0.814,10,-4.631,1,0.0804,0.288,0.0,0.118,0.492,110.006,blues,4,205153
47,0.644,0.433,2,-7.568,1,0.0346,0.742,0.0,0.129,0.611,85.799,blues,4,206003
38,0.358,0.682,2,-9.123,1,0.0627,0.00536,0.0687,0.104,0.697,175.89,blues,4,388200
43,0.537,0.823,9,-5.874,1,0.0322,0.00784,2.19e-06,0.122,0.759,132.241,blues,4,151827
27,0.559,0.201,6,-13.496,1,0.0495,0.966,0.00496,0.0882,0.627,172.133,blues,4,200267
42,0.432,0.862,6,-6.088,0,0.0701,0.137,0.015,0.316,0.699,83.005,blues,4,268640
30,0.737,0.31,7,-12.166,1,0.0373,0.267,0.00635,0.146,0.122,119.881,blues,3,228560
38,0.599,0.161,5,-15.58,1,0.0606,0.982,0.0474,0.116,0.347,144.45,blues,4,179293
33,0.586,0.332,0,-12.445,1,0.0407,0.71,0.0421,0.0782,0.269,95.996,blues,4,236187
36,0.591,0.416,7,-15.476,1,0.0459,0.43,0.0,0.648,0.803,126.881,blues,4,161000
40,0.484,0.475,2,-9.647,0,0.0287,0.00632,0.00124,0.14,0.33,100.042,blues,4,207853
32,0.613,0.52,7,-12.996,1,0.0368,0.889,0.000599,0.0841,0.61,69.186,blues,4,217120
